方名,text
拔毒膏,"山栀,象皮,穿山甲,血竭,巴豆仁,儿茶,乳香,没药,硼砂"
斩痒丹,"人参,苦参,僵蚕,石南枝,没药,乳香,红花,玳瑁,甘草"
松香膏,"松香,冰片,硇砂"
治疣汤,"地黄,赤小豆,牛膝,牡丹皮,红花,白术,桃仁,赤芍,白芍,穿山甲,何首乌"
治疣汤2,桑叶
治瘕调理丸,"当归,香附,延胡索,砂仁,五灵脂,红花,木香,蕲艾"
三豆饮子,"赤小豆,绿豆,甘草"
爬山虎叶药酒,"爬山虎,土鳖虫,白酒"
狗皮膏,"阿魏,桃仁,胡椒,乳香,没药,三棱,青皮,莪术,五灵脂,血竭,白信,冰片,麝香,清凉膏药肉"
狗皮膏2,"枳壳,杏仁,泽泻,地榆,天麻,五味子,川乌,浙贝,猪苓,赤石脂,白蔹,甘草,赤芍,五加皮,栀子,薄荷,山药,首乌,羌活,苦参,青皮,黄芩,破故纸,地黄,香附,远志,半夏,独活,荆芥,麻黄,苁蓉,茴香,草乌,白芷,陈皮,前胡,金银花,牛膝,藁本,附片,茴香,木通,五灵脂,肉桂,连翘,僵蚕,续断,蛇床子,桔梗,大黄,当归,知母,茵陈,细辛,黄柏,台乌药,苍耳子,川芎,地黄,杜仲,苍术,玄参,川楝,桃仁,蒺藜,楮实子,大风子,青风藤,菟丝子,白术,穿山甲,蜈蚣条"
细辛皂刺栓,"细辛,蜂蜜"
肺脓疡合剜,"半枝莲,鱼腥草,虎杖,黄芩,桔梗"
肾着灵效汤,"白术,甘草,乳香,没药,丹参,当归,土元,骨碎补,杜仲,木瓜,牛膝,续断,三七,金白花蛇条,蜈蚣条,桃仁,红花"
苦楝丸,"川楝,用巴豆"
虎骨木瓜丸,"虎骨,海风藤,川乌,木瓜,威灵仙,川芎,草乌,当归,青风藤,牛膝,人参"
虎骨木瓜片,"没药,当归,肉桂,甜瓜子,地龙,骨碎补,牛膝,虎骨,木瓜,木香,血竭"
虎骨木瓜酒,"虎骨,红花,肉桂,独活,当归,川芎,牛膝,续断,天麻,玉竹,杞子,乳香,没药,桑枝,桑寄生,油松节,土烧酒"
